frame,tiempo_s,valor_display
0,0.0,6.94
1,0.03380181166141099,6.94
2,0.06760362332282198,6.94
3,0.10140543498423298,6.94
4,0.13520724664564396,6.94
5,0.16900905830705495,6.94
6,0.20281086996846595,8.89
7,0.23661268162987695,8.89
8,0.2704144932912879,7.83
9,0.3042163049526989,7.83
10,0.3380181166141099,7.83
11,0.3718199282755209,7.83
12,0.4056217399369319,7.83
13,0.4394235515983429,7.83
14,0.4732253632597539,7.83
15,0.5070271749211649,7.83
16,0.5408289865825758,7.83
17,0.5746307982439869,7.83
18,0.6084326099053978,7.63
19,0.6422344215668089,7.63
20,0.6760362332282198,7.63
21,0.7098380448896309,7.63
22,0.7436398565510418,7.63
23,0.7774416682124529,7.63
24,0.8112434798738638,7.63
25,0.8450452915352749,7.63
26,0.8788471031966858,7.63
27,0.9126489148580967,7.88
28,0.9464507265195078,7.88
29,0.9802525381809187,7.70
30,1.0140543498423298,7.70
31,1.0478561615037407,7.70
32,1.0816579731651517,7.70
33,1.1154597848265628,7.70
34,1.1492615964879738,7.70
35,1.1830634081493847,7.70
36,1.2168652198107957,7.70
37,1.2506670314722068,7.90
38,1.2844688431336178,7.90
39,1.3182706547950287,7.57
40,1.3520724664564396,7.57
41,1.3858742781178506,7.57
42,1.4196760897792617,7.57
43,1.4534779014406727,7.57
44,1.4872797131020836,7.57
45,1.5210815247634946,7.57
46,1.5548833364249057,7.57
47,1.5886851480863167,7.57
48,1.6224869597477276,7.69
49,1.6562887714091385,7.69
50,1.6900905830705497,7.65
51,1.7238923947319607,7.65
52,1.7576942063933716,7.65
53,1.7914960180547825,7.65
54,1.8252978297161935,7.65
55,1.8590996413776046,7.65
56,1.8929014530390156,7.65
57,1.9267032647004265,7.65
58,1.9605050763618375,7.89
59,1.9943068880232486,7.89
60,2.0281086996846596,7.81
61,2.0619105113460705,7.81
62,2.0957123230074814,7.81
63,2.1295141346688924,7.81
64,2.1633159463303033,7.81
65,2.1971177579917147,7.81
66,2.2309195696531257,7.81
67,2.2647213813145366,7.81
68,2.2985231929759475,7.81
69,2.3323250046373585,7.89
70,2.3661268162987694,7.69
71,2.3999286279601804,7.69
72,2.4337304396215913,7.69
73,2.4675322512830022,7.69
74,2.5013340629444136,7.69
75,2.5351358746058246,7.69
76,2.5689376862672355,7.69
77,2.6027394979286465,7.69
78,2.6365413095900574,7.69
79,2.6703431212514683,7.89
80,2.7041449329128793,7.89
81,2.73794674457429,7.97
82,2.771748556235701,7.97
83,2.8055503678971125,7.97
84,2.8393521795585235,7.97
85,2.8731539912199344,7.97
86,2.9069558028813454,7.97
87,2.9407576145427563,7.97
88,2.9745594262041672,7.97
89,3.008361237865578,7.90
